"name","pop","location"
"Hugli","177005","https://www.google.com/maps/?q=22.9088,88.3967"
"Alleppey","176783","https://www.google.com/maps/?q=9.49004,76.3264"
"Amroha","176253","https://www.google.com/maps/?q=28.9031,78.4698"
"Tambaram","174787","https://www.google.com/maps/?q=12.9246,80.1271"
"Pathankot","174306","https://www.google.com/maps/?q=32.2748,75.6529"
"Bhind","174035","https://www.google.com/maps/?q=26.5667,78.7873"
"Shimla","173503","https://www.google.com/maps/?q=31.1044,77.1666"
"Ongole","172872","https://www.google.com/maps/?q=15.5036,80.0445"
"Gadag-Betageri","172813","https://www.google.com/maps/?q=15.4167,75.6167"
"Puri","170841","https://www.google.com/maps/?q=19.7983,85.8249"
"Haldia","170695","https://www.google.com/maps/?q=22.0605,88.1097"
"Khammam","170503","https://www.google.com/maps/?q=17.2477,80.1437"
"Raiganj","170252","https://www.google.com/maps/?q=25.6128,88.1245"
"Ingraj Bazar","170039","https://www.google.com/maps/?q=25.0045,88.1457"
"Jaunpur","169572","https://www.google.com/maps/?q=25.7536,82.6869"
"Fatehpur","166480","https://www.google.com/maps/?q=25.9277,80.8127"
"Gandhidham","166388","https://www.google.com/maps/?q=23.0833,70.1333"
"Nandyal","165337","https://www.google.com/maps/?q=15.478,78.4836"
"Udupi","165000","https://www.google.com/maps/?q=13.3347,74.7462"
"Loni","164810","https://www.google.com/maps/?q=28.7514,77.2902"
"Sitapur","164435","https://www.google.com/maps/?q=27.5619,80.6826"
"Shivpuri","164215","https://www.google.com/maps/?q=25.4238,77.6622"
"Bhadravati","163903","https://www.google.com/maps/?q=13.8485,75.705"
"Adoni","163631","https://www.google.com/maps/?q=15.6279,77.2749"
"Veraval","163326","https://www.google.com/maps/?q=20.9077,70.3679"
"Sambalpur","162887","https://www.google.com/maps/?q=21.4653,83.9757"
"Gadag","162569","https://www.google.com/maps/?q=15.4298,75.6297"
"Unnao","161671","https://www.google.com/maps/?q=26.5471,80.4878"
"Budaun","161555","https://www.google.com/maps/?q=28.0381,79.1267"
"Jind","161260","https://www.google.com/maps/?q=29.3158,76.315"
"Madhyamgram","161126","https://www.google.com/maps/?q=22.6894,88.4459"
"Jamuria","160242","https://www.google.com/maps/?q=23.7047,87.0787"
"Jaigaon","158664","https://www.google.com/maps/?q=26.8477,89.3756"
"Cuddalore","158569","https://www.google.com/maps/?q=11.7562,79.7669"
"Orai","158265","https://www.google.com/maps/?q=25.9902,79.4533"
"Hoshiarpur","158142","https://www.google.com/maps/?q=31.5372,75.9127"
"Pallavaram","157145","https://www.google.com/maps/?q=12.968,80.1503"
"Hanumangarh","155687","https://www.google.com/maps/?q=29.5818,74.3294"
"Kanchipuram","155029","https://www.google.com/maps/?q=12.8351,79.7001"
"Alandur","153775","https://www.google.com/maps/?q=13.0025,80.2061"
"Guna","153689","https://www.google.com/maps/?q=24.6469,77.3113"
"Bahadurgarh","153613","https://www.google.com/maps/?q=28.6929,76.9355"
"Bharuch","153528","https://www.google.com/maps/?q=21.6948,72.9805"
"Medinipur","153349","https://www.google.com/maps/?q=22.4211,87.3226"
"Fyzabad","153047","https://www.google.com/maps/?q=26.7755,82.1502"
"Dinapore","152940","https://www.google.com/maps/?q=25.6371,85.0479"
"Silchar","152393","https://www.google.com/maps/?q=24.8273,92.7979"
"Banda","152218","https://www.google.com/maps/?q=25.4776,80.3349"
"Morena","152004","https://www.google.com/maps/?q=26.4989,77.9953"
"Tonk","151331","https://www.google.com/maps/?q=26.1664,75.7882"
"Raj-Nandgaon","150755","https://www.google.com/maps/?q=21.0969,81.0289"
"Serilingampalle","150525","https://www.google.com/maps/?q=17.4931,78.302"
"Virar","150357","https://www.google.com/maps/?q=19.4559,72.8114"
"Malkajgiri","150000","https://www.google.com/maps/?q=17.4478,78.5263"
"Shantipur","149983","https://www.google.com/maps/?q=23.2472,88.433"
"Barakpur","148174","https://www.google.com/maps/?q=22.766,88.3634"
"Erode","147270","https://www.google.com/maps/?q=11.3428,77.7274"
"Ambala","146787","https://www.google.com/maps/?q=30.361,76.7978"
"Krishnanagar","145926","https://www.google.com/maps/?q=23.4058,88.4907"
"Saharsa","145764","https://www.google.com/maps/?q=25.875,86.5961"
"Batala","145468","https://www.google.com/maps/?q=31.8092,75.2029"
"Bhimavaram","142967","https://www.google.com/maps/?q=16.5408,81.5232"
"Balurghat","141404","https://www.google.com/maps/?q=25.221,88.7773"
"Kaithal","140604","https://www.google.com/maps/?q=29.8015,76.3996"
"Lakhimpur","140223","https://www.google.com/maps/?q=27.9482,80.7794"
"Hazaribagh","140063","https://www.google.com/maps/?q=23.9924,85.3616"
"Vidisha","140045","https://www.google.com/maps/?q=23.526,77.8109"
"Haldwani","139497","https://www.google.com/maps/?q=29.2225,79.5286"
"Habra","139297","https://www.google.com/maps/?q=22.842,88.6561"
"Kumbakonam","139264","https://www.google.com/maps/?q=10.9621,79.3912"
"Porbandar","138872","https://www.google.com/maps/?q=21.6422,69.6093"
